Ainsworth 2NE,2020-07-22 11:00:00 CDT,74°F,65°F,72%,82°F,720W/m^2,10MPH,S,1015mb,,,0.00"
Alda 3W,2020-07-22 11:00:00 CDT,73°F,67°F,81%,76°F,258W/m^2,6MPH,SSE,1016mb,,,0.01"
Alliance 6NW,2020-07-22 10:00:00 MDT,73°F,61°F,65%,72°F,687W/m^2,11MPH,SSE,1011mb,,,0.00"
Arthur 8S,2020-07-22 10:00:00 MDT,77°F,66°F,68%,73°F,710W/m^2,13MPH,S,1011mb,,,0.00"
Axtell 5NE,2020-07-22 11:00:00 CDT,75°F,70°F,84%,74°F,315W/m^2,4MPH,ESE,1015mb,,,0.00"
Big Springs 8NE,2020-07-22 10:00:00 MDT,75°F,66°F,74%,72°F,488W/m^2,9MPH,SSW,1012mb,,,0.00"
Broadwater 7N,2020-07-22 10:00:00 MDT,72°F,61°F,67%,73°F,690W/m^2,10MPH,SE,1011mb,,,0.00"
Brule 6SW,2020-07-22 10:00:00 MDT,76°F,67°F,75%,75°F,888W/m^2,8MPH,SSE,1013mb,,,0.00"
Central City 3W,2020-07-22 11:00:00 CDT,73°F,66°F,78%,76°F,137W/m^2,5MPH,ESE,1016mb,,,0.00"
Champion 5SE,2020-07-22 10:00:00 MDT,78°F,67°F,70%,73°F,696W/m^2,13MPH,SSE,1011mb,,,0.00"
Concord 2E,2020-07-22 11:00:00 CDT,76°F,61°F,59%,73°F,751W/m^2,5MPH,SE,1017mb,,,0.00"
Cozad 8N,2020-07-22 11:00:00 CDT,72°F,68°F,88%,71°F,737W/m^2,6MPH,SE,1014mb,,,0.00"
Curtis 1N,2020-07-22 11:00:00 CDT,77°F,70°F,78%,75°F,290W/m^2,11MPH,SSE,1013mb,,,0.00"
Decatur 7S,2020-07-22 11:00:00 CDT,78°F,64°F,62%,74°F,740W/m^2,4MPH,E,1015mb,,,0.00"
Dickens 1NE,2020-07-22 11:00:00 CDT,79°F,69°F,71%,75°F,681W/m^2,13MPH,SSE,1012mb,81°F,,0.00"
Dunning 6NW,2020-07-22 11:00:00 CDT,77°F,65°F,68%,70°F,597W/m^2,13MPH,S,1013mb,,,0.00"
Eagle 3NW Beta,2020-07-22 11:00:00 CDT,80°F,69°F,69%,74°F,731W/m^2,0MPH,ESE,1015mb,83°F,,0.00"
Elgin 6W,2020-07-22 11:00:00 CDT,75°F,65°F,72%,72°F,662W/m^2,5MPH,SSE,1016mb,,,0.00"
Emmet 2E,2020-07-22 11:00:00 CDT,78°F,63°F,60%,78°F,695W/m^2,10MPH,SSE,1013mb,,,0.00"
Firth 3N,2020-07-22 11:00:00 CDT,80°F,68°F,67%,75°F,718W/m^2,5MPH,ESE,1016mb,81°F,,0.00"
Fordyce 4N,2020-07-22 11:00:00 CDT,76°F,61°F,59%,77°F,322W/m^2,7MPH,SSE,1016mb,,,0.00"
Gordon 4SE,2020-07-22 10:00:00 MDT,77°F,63°F,61%,69°F,694W/m^2,14MPH,SSW,1011mb,,,0.00"
Gothenburg 2NW,2020-07-22 11:00:00 CDT,74°F,69°F,82%,72°F,720W/m^2,12MPH,SSE,1014mb,,,0.00"
Grant 1E,2020-07-22 10:00:00 MDT,77°F,67°F,71%,73°F,700W/m^2,10MPH,S,1011mb,,,0.00"
Guide Rock 3E,2020-07-22 11:00:00 CDT,78°F,70°F,76%,74°F,176W/m^2,3MPH,ESE,1015mb,,,0.00"
Harrison 4NW,2020-07-22 10:00:00 MDT,73°F,58°F,60%,65°F,702W/m^2,14MPH,S,1010mb,,,0.00"
Harvard 4SW,2020-07-22 11:00:00 CDT,74°F,69°F,85%,74°F,266W/m^2,3MPH,E,1016mb,,,0.00"
Hayes Center 3N,2020-07-22 11:00:00 CDT,78°F,68°F,73%,75°F,721W/m^2,13MPH,SE,1011mb,,,0.00"
Holdrege 5N,2020-07-22 11:00:00 CDT,74°F,69°F,86%,74°F,367W/m^2,8MPH,ESE,1015mb,,,0.00"
Indianola 8SW,2020-07-22 11:00:00 CDT,80°F,68°F,66%,77°F,727W/m^2,9MPH,SE,1012mb,83°F,,0.00"
Kearney 3E,2020-07-22 11:00:00 CDT,72°F,69°F,91%,73°F,226W/m^2,9MPH,SE,1015mb,,,0.02"
Keystone 4W,2020-07-22 10:00:00 MDT,78°F,67°F,69%,70°F,689W/m^2,16MPH,SE,1011mb,,,0.00"
Leigh 1W,2020-07-22 11:00:00 CDT,75°F,64°F,68%,76°F,239W/m^2,6MPH,S,1016mb,,,0.00"
Lexington 4S,2020-07-22 11:00:00 CDT,74°F,69°F,84%,74°F,324W/m^2,6MPH,SE,1014mb,,,0.00"
Lincoln 1500 N 45th,2020-07-22 11:00:00 CDT,81°F,63°F,54%,79°F,739W/m^2,4MPH,S,1016mb,82°F,,0.00"
Lincoln 1700 N 10th,2020-07-22 11:00:00 CDT,82°F,62°F,49%,79°F,658W/m^2,2MPH,ESE,1016mb,83°F,,0.00"
Lincoln 5700 S 27th,2020-07-22 11:00:00 CDT,81°F,65°F,58%,77°F,749W/m^2,2MPH,SSE,1016mb,83°F,,0.00"
Lincoln 9100 S 78th,2020-07-22 11:00:00 CDT,79°F,66°F,64%,76°F,716W/m^2,6MPH,SSE,1016mb,,,0.00"
Long Pine 20S,2020-07-22 11:00:00 CDT,73°F,64°F,73%,75°F,690W/m^2,11MPH,SSE,1015mb,,,0.00"
Memphis 4N,2020-07-22 11:00:00 CDT,79°F,65°F,61%,78°F,714W/m^2,5MPH,SE,1016mb,,,0.00"
Memphis 5N,2020-07-22 11:00:00 CDT,80°F,67°F,64%,76°F,688W/m^2,4MPH,ESE,1015mb,82°F,,0.00"
Merna 2SW,2020-07-22 11:00:00 CDT,74°F,68°F,82%,72°F,696W/m^2,5MPH,SE,1014mb,,,0.00"
Mullen 30N,2020-07-22 10:00:00 MDT,77°F,66°F,70%,69°F,671W/m^2,13MPH,SSE,,,,0.00"
Naper 12SW,2020-07-22 11:00:00 CDT,77°F,63°F,61%,76°F,696W/m^2,11MPH,SSE,1014mb,,,0.00"
Nebraska City 3NW,2020-07-22 11:00:00 CDT,79°F,66°F,65%,78°F,788W/m^2,2MPH,SSE,1016mb,,,0.00"
North Platte 3SW Beta,2020-07-22 11:00:00 CDT,79°F,68°F,70%,78°F,713W/m^2,10MPH,S,1012mb,,,0.00"
Oakland 4W,2020-07-22 11:00:00 CDT,77°F,64°F,66%,76°F,510W/m^2,6MPH,SSE,1016mb,,,0.00"
Ord 2N,2020-07-22 11:00:00 CDT,72°F,63°F,74%,72°F,370W/m^2,10MPH,SSE,1016mb,,,0.00"
Oshkosh 6N,2020-07-22 10:00:00 MDT,75°F,64°F,69%,77°F,489W/m^2,11MPH,SSE,1011mb,,,0.00"
Overton 6SE,2020-07-22 11:00:00 CDT,76°F,69°F,79%,73°F,809W/m^2,9MPH,SE,1014mb,,,0.00"
Pierce 2SW,2020-07-22 11:00:00 CDT,75°F,62°F,64%,76°F,403W/m^2,6MPH,SSW,1016mb,,,0.00"
Plattsmouth 2SE,2020-07-22 11:00:00 CDT,77°F,67°F,70%,78°F,781W/m^2,2MPH,ESE,1016mb,,,0.00"
Plymouth 4E,2020-07-22 11:00:00 CDT,80°F,69°F,69%,76°F,735W/m^2,5MPH,E,1015mb,83°F,,0.00"
Ragan 5W,2020-07-22 11:00:00 CDT,79°F,69°F,72%,75°F,991W/m^2,9MPH,SE,1014mb,,,0.00"
Rulo 5SW,2020-07-22 11:00:00 CDT,80°F,72°F,75%,78°F,756W/m^2,2MPH,NE,1016mb,85°F,,0.00"
Scottsbluff 2NW,2020-07-22 10:00:00 MDT,73°F,60°F,65%,75°F,674W/m^2,5MPH,SE,1011mb,,,0.00"
Scottsbluff 6NW,2020-07-22 10:00:00 MDT,72°F,60°F,67%,79°F,686W/m^2,8MPH,SSE,1011mb,,,0.00"
Shelton 2SW,2020-07-22 11:00:00 CDT,73°F,69°F,88%,74°F,459W/m^2,6MPH,SE,1016mb,,,0.00"
Sidney 2NW,2020-07-22 10:00:00 MDT,71°F,63°F,74%,71°F,695W/m^2,5MPH,SE,1012mb,,,0.00"
